Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
employer,использовать,"<span class=""pronoun"">j'</span>{{c1::emploie}}<br><span class=""pronoun"">tu</span> {{c1::emploies}}<br><span class=""pronoun"">il/elle</span> {{c1::emploie}}","<span class=""pronoun"">nous</span> {{c2::employons}}<br><span class=""pronoun"">vous</span> {{c2::employez}}<br><span class=""pronoun"">ils/elles</span> {{c2::emploient}}",y → i (employer),"Groupe 1 (-er). ПАТТЕРН -oyer: y→i обязательно. Как: nettoyer, noyer."
essayer,пробовать,"<span class=""pronoun"">j'</span>{{c1::essaie}}<br><span class=""pronoun"">tu</span> {{c1::essaies}}<br><span class=""pronoun"">il/elle</span> {{c1::essaie}}","<span class=""pronoun"">nous</span> {{c2::essayons}}<br><span class=""pronoun"">vous</span> {{c2::essayez}}<br><span class=""pronoun"">ils/elles</span> {{c2::essaient}}",y → i (essayer),Groupe 1 (-er). ПАТТЕРН -ayer: y→i опционально. Essayer de + inf.
préférer,предпочитать,"<span class=""pronoun"">je</span> {{c1::préfère}}<br><span class=""pronoun"">tu</span> {{c1::préfères}}<br><span class=""pronoun"">il/elle</span> {{c1::préfère}}","<span class=""pronoun"">nous</span> {{c2::préférons}}<br><span class=""pronoun"">vous</span> {{c2::préférez}}<br><span class=""pronoun"">ils/elles</span> {{c2::préfèrent}}",é → è (préférer),"Groupe 1 (-er). ПАТТЕРН é→è перед немым слогом. Как: espérer, répéter."
espérer,надеяться,"<span class=""pronoun"">j'</span>{{c1::espère}}<br><span class=""pronoun"">tu</span> {{c1::espères}}<br><span class=""pronoun"">il/elle</span> {{c1::espère}}","<span class=""pronoun"">nous</span> {{c2::espérons}}<br><span class=""pronoun"">vous</span> {{c2::espérez}}<br><span class=""pronoun"">ils/elles</span> {{c2::espèrent}}",é → è (espérer),Groupe 1 (-er). ПАТТЕРН é→è. Espérer + infinitif (без que!).
se souvenir,помнить,"<span class=""pronoun"">je</span> {{c1::me souviens}}<br><span class=""pronoun"">tu</span> {{c1::te souviens}}<br><span class=""pronoun"">il/elle</span> {{c1::se souvient}}","<span class=""pronoun"">nous</span> {{c2::nous souvenons}}<br><span class=""pronoun"">vous</span> {{c2::vous souvenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se souviennent}}",3e groupe (venir),Groupe 3 (-ir). Comme venir. Être! Se souvenir DE qqch/qqn.
s'enfuir,сбегать,"<span class=""pronoun"">je</span> {{c1::m'enfuis}}<br><span class=""pronoun"">tu</span> {{c1::t'enfuis}}<br><span class=""pronoun"">il/elle</span> {{c1::s'enfuit}}","<span class=""pronoun"">nous</span> {{c2::nous enfuyons}}<br><span class=""pronoun"">vous</span> {{c2::vous enfuyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'enfuient}}",3e groupe (fuir),Groupe 3 (-ir). Comme fuir. Être!
s'asseoir,садиться,"<span class=""pronoun"">je</span> {{c1::m'assieds}}<br><span class=""pronoun"">tu</span> {{c1::t'assieds}}<br><span class=""pronoun"">il/elle</span> {{c1::s'assied}}","<span class=""pronoun"">nous</span> {{c2::nous asseyons}}<br><span class=""pronoun"">vous</span> {{c2::vous asseyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'asseyent}}",3e groupe très irrég,Groupe 3 (-oir). 2 ФОРМЫ! Aussi: je m'assois. Être! Asseyez-vous!
se méprendre,ошибаться,"<span class=""pronoun"">je</span> {{c1::me méprends}}<br><span class=""pronoun"">tu</span> {{c1::te méprends}}<br><span class=""pronoun"">il/elle</span> {{c1::se méprend}}","<span class=""pronoun"">nous</span> {{c2::nous méprenons}}<br><span class=""pronoun"">vous</span> {{c2::vous méprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se méprennent}}",3e groupe (prendre),Groupe 3 (-re). Comme prendre. Être! Se méprendre sur qqch.
se taire,молчать,"<span class=""pronoun"">je</span> {{c1::me tais}}<br><span class=""pronoun"">tu</span> {{c1::te tais}}<br><span class=""pronoun"">il/elle</span> {{c1::se tait}}","<span class=""pronoun"">nous</span> {{c2::nous taisons}}<br><span class=""pronoun"">vous</span> {{c2::vous taisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se taisent}}",3e groupe (taire),Groupe 3 (-re). Comme plaire MAIS sans î: il se tait. Être! Tais-toi!
se lever,вставать,"<span class=""pronoun"">je</span> {{c1::me lève}}<br><span class=""pronoun"">tu</span> {{c1::te lèves}}<br><span class=""pronoun"">il/elle</span> {{c1::se lève}}","<span class=""pronoun"">nous</span> {{c2::nous levons}}<br><span class=""pronoun"">vous</span> {{c2::vous levez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se lèvent}}",e → è (lever),Возвратный. Comme lever. Être! Je me suis levé(e) à 7h.
s'appeler,называться,"<span class=""pronoun"">je</span> {{c1::m'appelle}}<br><span class=""pronoun"">tu</span> {{c1::t'appelles}}<br><span class=""pronoun"">il/elle</span> {{c1::s'appelle}}","<span class=""pronoun"">nous</span> {{c2::nous appelons}}<br><span class=""pronoun"">vous</span> {{c2::vous appelez}}<br><span class=""pronoun"">ils/elles</span> {{c2::s'appellent}}",doublement -ll (appeler),Возвратный. Comme appeler. Être! Comment vous appelez-vous?
se promener,гулять,"<span class=""pronoun"">je</span> {{c1::me promène}}<br><span class=""pronoun"">tu</span> {{c1::te promènes}}<br><span class=""pronoun"">il/elle</span> {{c1::se promène}}","<span class=""pronoun"">nous</span> {{c2::nous promenons}}<br><span class=""pronoun"">vous</span> {{c2::vous promenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se promènent}}",e → è (mener),Возвратный. Comme mener (e→è). Être! Une promenade.
