French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
un abus,злоупотребление,Un <b>abus</b> de pouvoir.,<b>Злоупотребление</b> властью.,⚠️,m
un créateur,создатель,Le <b>créateur</b> du monde.,<b>Создатель</b> мира.,🌍,m
une foutaise,чушь; ерунда,C'est de la <b>foutaise</b> !,Это <b>чушь</b>!,🙄,f
inclure,включать,<b>Inclure</b> dans la liste.,<b>Включить</b> в список.,📋,v
reporter,откладывать,<b>Reporter</b> une réunion.,<b>Отложить</b> собрание.,📅,v
un ais,доска (устар.),Un <b>ais</b> de bois.,Деревянная <b>доска</b>.,🪵,m
un rassemblement,собрание,Un <b>rassemblement</b> populaire.,Народное <b>собрание</b>.,👥,m
gaver,пичкать,<b>Gaver</b> les oies.,<b>Откармливать</b> гусей.,🦆,v
tressaillir,вздрагивать,<b>Tressaillir</b> de peur.,<b>Вздрогнуть</b> от страха.,😨,v
une incertitude,неуверенность,Une grande <b>incertitude</b>.,Большая <b>неуверенность</b>.,❓,f
"mexicain, mexicaine",мексиканский,La cuisine <b>mexicaine</b>.,<b>Мексиканская</b> кухня.,🌮,adj
un biberon,бутылочка,Donner le <b>biberon</b>.,Дать <b>бутылочку</b>.,🍼,m
"vicieux, vicieuse",порочный,Un cercle <b>vicieux</b>.,<b>Порочный</b> круг.,🔄,adj
une gomme,ластик,Effacer à la <b>gomme</b>.,Стереть <b>ластиком</b>.,🧹,f
vaciller,колебаться,<b>Vaciller</b> sur ses jambes.,<b>Шататься</b> на ногах.,🥴,v
propager,распространять,<b>Propager</b> une rumeur.,<b>Распространять</b> слух.,📢,v
différer,отличаться,<b>Différer</b> d'opinion.,<b>Отличаться</b> мнением.,↔️,v
ridiculiser,высмеивать,<b>Ridiculiser</b> quelqu'un.,<b>Высмеивать</b> кого-то.,😂,v
une citation,цитата,Une <b>citation</b> célèbre.,Знаменитая <b>цитата</b>.,📝,f
une cargaison,груз,Une <b>cargaison</b> de blé.,<b>Груз</b> пшеницы.,🚢,f
décéder,скончаться,<b>Décéder</b> de vieillesse.,<b>Скончаться</b> от старости.,🕯️,v
effroyable,ужасающий,Un crime <b>effroyable</b>.,<b>Ужасающее</b> преступление.,😱,adj
tisser,ткать,<b>Tisser</b> une toile.,<b>Ткать</b> полотно.,🕸️,v
rimer,рифмоваться,<b>Rimer</b> avec amour.,<b>Рифмоваться</b> с любовью.,💕,v
une colombe,голубка,Une <b>colombe</b> blanche.,Белая <b>голубка</b>.,🕊️,f
une récréation,перемена,La <b>récréation</b> de midi.,Обеденная <b>перемена</b>.,🏫,f
coter,котировать; оценивать,<b>Coter</b> en bourse.,<b>Котироваться</b> на бирже.,📈,v
un coquin,шалун,Un petit <b>coquin</b>.,Маленький <b>шалун</b>.,😈,m
une brune,брюнетка,Une jolie <b>brune</b>.,Красивая <b>брюнетка</b>.,👩‍🦱,f
affaler,плюхаться,S'<b>affaler</b> sur le canapé.,<b>Плюхнуться</b> на диван.,🛋️,v
un donneur,донор,Un <b>donneur</b> de sang.,<b>Донор</b> крови.,🩸,m
une grossesse,беременность,Une <b>grossesse</b> heureuse.,Счастливая <b>беременность</b>.,🤰,f
abstenir,воздерживаться,S'<b>abstenir</b> de voter.,<b>Воздержаться</b> от голосования.,✋,v
"scandaleux, scandaleuse",скандальный,Une affaire <b>scandaleuse</b>.,<b>Скандальное</b> дело.,😱,adj
grignoter,грызть,<b>Grignoter</b> des biscuits.,<b>Грызть</b> печенье.,🍪,v
un couturier,кутюрье,Un grand <b>couturier</b>.,Великий <b>кутюрье</b>.,👗,m
un musulman,мусульманин,Il est <b>musulman</b>.,Он <b>мусульманин</b>.,☪️,m
"inhumain, inhumaine",бесчеловечный,Un traitement <b>inhumain</b>.,<b>Бесчеловечное</b> обращение.,😱,adj
un jaloux,ревнивец,Quel <b>jaloux</b> !,Какой <b>ревнивец</b>!,💚,m
la plupart du,большая часть,<b>La plupart du</b> temps.,<b>Большую часть</b> времени.,⏰,adj
un taillis,подлесок,Se cacher dans les <b>taillis</b>.,Спрятаться в <b>подлеске</b>.,🌳,m
"poilu, poilue",волосатый,Un homme <b>poilu</b>.,<b>Волосатый</b> мужчина.,🧔,adj
aménager,обустраивать,<b>Aménager</b> un appartement.,<b>Обустроить</b> квартиру.,🏠,v
charmer,очаровывать,<b>Charmer</b> le public.,<b>Очаровать</b> публику.,✨,v
une croupe,круп,La <b>croupe</b> du cheval.,<b>Круп</b> лошади.,🐴,f
suffoquer,задыхаться,<b>Suffoquer</b> de chaleur.,<b>Задыхаться</b> от жары.,🥵,v
une assise,основание,L'<b>assise</b> du mur.,<b>Основание</b> стены.,🧱,f
"peinard, peinarde",спокойный,Rester <b>peinard</b>.,Оставаться <b>в покое</b>.,😌,adj
un trophée,трофей,Un <b>trophée</b> de chasse.,Охотничий <b>трофей</b>.,🏆,m
un axe,ось,L'<b>axe</b> de la roue.,<b>Ось</b> колеса.,⚙️,m
un total,итог,Le <b>total</b> des dépenses.,<b>Итог</b> расходов.,🧮,m
un gaillard,молодец,Un solide <b>gaillard</b>.,Крепкий <b>молодец</b>.,💪,m
bénéficier,пользоваться (преимуществом),Tu vas <b>bénéficier</b> d'une réduction.,Ты получишь <b>скидку</b>.,💰,v
un châle,шаль,Un <b>châle</b> en laine.,Шерстяная <b>шаль</b>.,🧣,m
illustrer,иллюстрировать,<b>Illustrer</b> un livre.,<b>Иллюстрировать</b> книгу.,🖼️,v
un mortel,смертный,Un simple <b>mortel</b>.,Простой <b>смертный</b>.,💀,m
une gouttière,водосток,La <b>gouttière</b> du toit.,<b>Водосток</b> на крыше.,🏠,f
un museau,морда,Le <b>museau</b> du chien.,<b>Морда</b> собаки.,🐕,m
une allégresse,ликование,Crier d'<b>allégresse</b>.,Кричать от <b>радости</b>.,🎉,f
une ronce,ежевика,Des <b>ronces</b> sauvages.,Дикая <b>ежевика</b>.,🫐,f
favoriser,благоприятствовать,<b>Favoriser</b> le développement.,<b>Способствовать</b> развитию.,📈,v
un communiqué,коммюнике,Un <b>communiqué</b> de presse.,Пресс-<b>релиз</b>.,📰,m
un motel,мотель,Dormir dans un <b>motel</b>.,Ночевать в <b>мотеле</b>.,🏨,m
un chandail,свитер,Un <b>chandail</b> chaud.,Тёплый <b>свитер</b>.,🧥,m
"séparé, séparée",отдельный,Des chambres <b>séparées</b>.,<b>Отдельные</b> комнаты.,🚪,adj
une morsure,укус,Une <b>morsure</b> de serpent.,<b>Укус</b> змеи.,🐍,f
une limonade,лимонад,Un verre de <b>limonade</b>.,Стакан <b>лимонада</b>.,🍋,f
une fiançailles,помолвка,Annoncer ses <b>fiançailles</b>.,Объявить о <b>помолвке</b>.,💍,f
shooter,стрелять (спорт),<b>Shooter</b> au but.,<b>Бить</b> по воротам.,⚽,v
une chauve-souris,летучая мышь,Une <b>chauve-souris</b> nocturne.,Ночная <b>летучая мышь</b>.,🦇,f
un labeur,труд,Un dur <b>labeur</b>.,Тяжёлый <b>труд</b>.,💼,m
bidon,липовый,Une excuse <b>bidon</b>.,<b>Липовая</b> отговорка.,🤥,adj
blottir,прижиматься,Se <b>blottir</b> contre quelqu'un.,<b>Прижаться</b> к кому-то.,🤗,v
"méfiant, méfiante",недоверчивый,Un regard <b>méfiant</b>.,<b>Недоверчивый</b> взгляд.,🤨,adj
empresser,спешить,S'<b>empresser</b> de répondre.,<b>Поспешить</b> ответить.,⏰,v
mobiliser,мобилизовать,<b>Mobiliser</b> les troupes.,<b>Мобилизовать</b> войска.,🪖,v
un artisan,ремесленник,Un <b>artisan</b> qualifié.,Квалифицированный <b>ремесленник</b>.,🔨,m
tenace,упорный,Un espoir <b>tenace</b>.,<b>Упорная</b> надежда.,💪,adj
un dévouement,преданность,Un <b>dévouement</b> total.,Полная <b>преданность</b>.,❤️,m
une crosse,клюшка,Une <b>crosse</b> de hockey.,Хоккейная <b>клюшка</b>.,🏒,f
frayer,прокладывать,Se <b>frayer</b> un chemin.,<b>Прокладывать</b> путь.,🚶,v
un torchon,тряпка,Un <b>torchon</b> de cuisine.,Кухонная <b>тряпка</b>.,🧹,m
"boulot, boulotte",пухлый; полный,Elle est un peu <b>boulotte</b>.,Она немного <b>пухленькая</b>.,🍩,adj
un lancement,запуск,Le <b>lancement</b> d'une fusée.,<b>Запуск</b> ракеты.,🚀,m
"naval, navale",морской,Une base <b>navale</b>.,<b>Морская</b> база.,⚓,adj
une brèche,брешь,Ouvrir une <b>brèche</b>.,Открыть <b>брешь</b>.,🕳️,f
un championnat,чемпионат,Le <b>championnat</b> du monde.,<b>Чемпионат</b> мира.,🏆,m
un acheteur,покупатель,Un <b>acheteur</b> potentiel.,Потенциальный <b>покупатель</b>.,🛒,m
paumer,терять (разг.),<b>Paumer</b> ses clés.,<b>Потерять</b> ключи.,🔑,v
fasciste,фашистский,Un régime <b>fasciste</b>.,<b>Фашистский</b> режим.,⚠️,adj
tituber,шататься,<b>Tituber</b> de fatigue.,<b>Шататься</b> от усталости.,🥴,v
un bûcher,костёр,Brûler sur le <b>bûcher</b>.,Сгореть на <b>костре</b>.,🔥,m
une sincérité,искренность,Avec <b>sincérité</b>.,С <b>искренностью</b>.,💯,f
un aïeul,предок,Nos <b>aïeux</b>.,Наши <b>предки</b>.,👴,m
un dictionnaire,словарь,Consulter un <b>dictionnaire</b>.,Смотреть в <b>словаре</b>.,📖,m
une braise,уголёк,Des <b>braises</b> ardentes.,Раскалённые <b>угли</b>.,🔥,f
"indiscret, indiscrète",нескромный,Une question <b>indiscrète</b>.,<b>Нескромный</b> вопрос.,👀,adj
lugubre,мрачный,Un endroit <b>lugubre</b>.,<b>Мрачное</b> место.,🌑,adj
un portugais,португалец,Un ami <b>portugais</b>.,Друг-<b>португалец</b>.,🇵🇹,m
exotique,экзотический,Un fruit <b>exotique</b>.,<b>Экзотический</b> фрукт.,🥭,adj
une trajectoire,траектория,La <b>trajectoire</b> d'un missile.,<b>Траектория</b> ракеты.,📐,f
un compromis,компромисс,Trouver un <b>compromis</b>.,Найти <b>компромисс</b>.,🤝,m
une complication,осложнение,Une <b>complication</b> imprévue.,Непредвиденное <b>осложнение</b>.,⚠️,f
un corridor,коридор,Un long <b>corridor</b>.,Длинный <b>коридор</b>.,🚪,m
un monastère,монастырь,Un vieux <b>monastère</b>.,Старый <b>монастырь</b>.,⛪,m
une crèche,ясли,Mettre l'enfant à la <b>crèche</b>.,Отдать ребёнка в <b>ясли</b>.,👶,f
une impulsion,импульс,Agir par <b>impulsion</b>.,Действовать по <b>импульсу</b>.,⚡,f
"décidé, décidée",решительный,Un ton <b>décidé</b>.,<b>Решительный</b> тон.,💪,adj
une parcelle,участок,Une <b>parcelle</b> de terrain.,<b>Участок</b> земли.,🏞️,f
une paroisse,приход,La <b>paroisse</b> du village.,<b>Приход</b> деревни.,⛪,f
un entourage,окружение,L'<b>entourage</b> du président.,<b>Окружение</b> президента.,👥,m
une lentille,чечевица; линза,Des <b>lentilles</b> de contact.,Контактные <b>линзы</b>.,👁️,f
rattacher,привязывать,<b>Rattacher</b> une corde.,<b>Привязать</b> верёвку.,🔗,v
un yacht,яхта,Un <b>yacht</b> luxueux.,Роскошная <b>яхта</b>.,🛥️,m
un truand,бандит,Un dangereux <b>truand</b>.,Опасный <b>бандит</b>.,🦹,m
absenter,отсутствовать,S'<b>absenter</b> du bureau.,<b>Отсутствовать</b> на работе.,🚪,v
une carabine,карабин,Une <b>carabine</b> de chasse.,Охотничья <b>винтовка</b>.,🔫,f
une consommation,потребление,La <b>consommation</b> d'énergie.,<b>Потребление</b> энергии.,📊,f
un décret,декрет,Signer un <b>décret</b>.,Подписать <b>декрет</b>.,📜,m
un bien-être,благополучие,Le <b>bien-être</b> physique.,Физическое <b>благополучие</b>.,😌,m
un us,обычай,Les <b>us</b> et coutumes.,<b>Нравы</b> и обычаи.,📜,m
une urine,моча,Une analyse d'<b>urine</b>.,Анализ <b>мочи</b>.,🧪,f
une requête,запрос,Soumettre une <b>requête</b>.,Подать <b>запрос</b>.,📝,f
"puéril, puérile",детский,Un comportement <b>puéril</b>.,<b>Детское</b> поведение.,🧒,adj
une méditation,медитация,Une séance de <b>méditation</b>.,Сеанс <b>медитации</b>.,🧘,f
"respectueux, respectueuse",уважительный,Un ton <b>respectueux</b>.,<b>Уважительный</b> тон.,🙏,adj
